CLNT-ID: Client_Client_2 | SVR-ID: Server_2 | REQ | Physical-clock-time: 2021-03-23T21:13:22.282260400 | Operation: null | Operation-name: Transfer | Parameters: 14,16, 10 
CLNT-ID: Client_Client_2 | SVR-ID: Server_4 | REQ | Physical-clock-time: 2021-03-23T21:13:22.284262100 | Operation: null | Operation-name: Transfer | Parameters: 15,16, 10 
CLNT-ID: Client_Client_2 | SVR-ID: Server_1 | REQ | Physical-clock-time: 2021-03-23T21:13:22.286262600 | Operation: null | Operation-name: Transfer | Parameters: 3,7, 10 
CLNT-ID: Client_Client_2 | SVR-ID: Server_1 | REQ | Physical-clock-time: 2021-03-23T21:13:22.290263 | Operation: null | Operation-name: Transfer | Parameters: 2,1, 10 
CLNT-ID: Client_Client_2 | SVR-ID: Server_3 | REQ | Physical-clock-time: 2021-03-23T21:13:22.299263700 | Operation: null | Operation-name: Transfer | Parameters: 12,9, 10 
CLNT-ID: Client_Client_2 | SVR-ID: Server_4 | REQ | Physical-clock-time: 2021-03-23T21:13:22.302262500 | Operation: null | Operation-name: Transfer | Parameters: 9,2, 10 
CLNT-ID: Client_Client_2 | SVR-ID: Server_0 | REQ | Physical-clock-time: 2021-03-23T21:13:22.317277700 | Operation: null | Operation-name: Transfer | Parameters: 19,17, 10 
CLNT-ID: Client_Client_2 | SVR-ID: Server_4 | REQ | Physical-clock-time: 2021-03-23T21:13:22.320262 | Operation: null | Operation-name: Transfer | Parameters: 6,5, 10 
CLNT-ID: Client_Client_2 | SVR-ID: Server_4 | REQ | Physical-clock-time: 2021-03-23T21:13:22.321263400 | Operation: null | Operation-name: Transfer | Parameters: 12,17, 10 
CLNT-ID: Client_Client_2 | SVR-ID: Server_4 | REQ | Physical-clock-time: 2021-03-23T21:13:23.850487 | Operation: null | Operation-name: Transfer | Parameters: 14,5, 10 
CLNT-ID: Client_Client_2 | SVR-ID: Server_0 | REQ | Physical-clock-time: 2021-03-23T21:13:23.852486100 | Operation: null | Operation-name: Transfer | Parameters: 4,1, 10 
CLNT-ID: Client_Client_2 | SVR-ID: Server_3 | REQ | Physical-clock-time: 2021-03-23T21:13:23.855487600 | Operation: null | Operation-name: Transfer | Parameters: 3,5, 10 
CLNT-ID: Client_Client_2 | SVR-ID: Server_2 | REQ | Physical-clock-time: 2021-03-23T21:13:23.857486500 | Operation: null | Operation-name: Transfer | Parameters: 16,4, 10 
